,idx,collected,goal_amount,num_backers,category,duration,pledge_types,donate,creator,project_we_love,success,start_month,start_day,population,country
790,1102,10.55045989597546,10.545341438708522,283,film_Video,27,34.0,0.0,Rooftop Films,1.0,1,12,1,14.648708334886981, NY
791,1103,8.89604050162011,10.126631103850338,54,film_Video,45,14.0,0.0,Shawn Cauthen,,0,11,2,13.744905673596723, TX
792,1104,10.135709767783542,10.126631103850338,169,film_Video,30,16.0,0.0,Matt Gross,1.0,1,12,1,14.648708334886981, NY
793,1108,12.743182667981113,10.673595774232203,"2,069",food,60,15.0,0.0,Crowd Cookware,1.0,1,11,0,12.20413577099914, Netherlands
794,1109,9.308917935337176,8.804775258867686,314,music,31,23.0,0.0,Kim Kelly,1.0,1,12,4,14.648708334886981, NY
795,1110,8.58110651715989,8.517193191416238,100,film_Video,5,4.0,0.0,For Truth Media Group,1.0,1,12,1,11.211996032432818, FL
796,1111,11.023747171218401,11.002099841204238,469,film_Video,30,18.0,0.0,clyde petersen,1.0,1,11,3,13.436372336049693, WA
797,1113,10.548470039529116,10.532610746229704,59,music,60,11.0,0.0,Muuk,1.0,1,12,1,16.324637595040688, Mexico
798,1114,8.40737832540903,9.615805480084347,66,crafts,30,6.0,0.0,Fall Line Press,1.0,0,12,1,13.047376865601485, GA
799,1115,9.054037377580782,9.011889433252344,88,art,22,11.0,0.0,Fully Booked,1.0,1,12,4,14.899546120497027, United Arab Emirates
800,1116,10.603957853475855,9.210340371976184,689,food,51,12.0,0.0,Chirps,1.0,1,12,1,14.151849928616338, CA
801,1118,9.30328411761892,8.699514748210191,425,comics,30,22.0,0.0,Greg Anderson-Elysee,1.0,1,11,2,14.648708334886981, NY
802,1122,12.770050335097281,10.819778284410283,262,design,34,6.0,0.0,Kyle Hart,1.0,1,11,2,13.436372336049693, WA
803,1123,9.144931071820585,8.99961934066053,96,design,30,11.0,0.0,lieke van dijk,1.0,1,11,6,15.9166075437284, Netherlands
804,1126,11.409263505947983,11.302204433654575,974,comics,30,10.0,0.0,S. Bear Bergman,1.0,1,12,5,14.77102200299171, Canada
805,1127,9.63834944451924,9.210340371976184,258,comics,30,15.0,0.0,IDW Publishing,1.0,1,12,1,13.357133477695209, OR
806,1130,7.596894438144544,9.210340371976184,32,film_Video,30,6.0,0.0,La mujer de los 7 nombres,1.0,0,11,3,15.85339624216229, Colombia
807,1138,11.180859506431831,11.48854055503454,510,design,53,15.0,0.0,L I V I N farms,1.0,0,11,0,14.151849928616338, CA
808,1140,10.70866793677185,9.210340371976184,685,publishing,40,6.0,0.0,Mouse Books,1.0,1,12,2,14.816343153421665, IL
809,1142,8.177515823846075,9.054972284742485,83,art,42,22.0,0.0,Tezeta Press,1.0,0,10,2,9.987093136390925, UK
810,1146,11.042275675007614,10.710170093472884,"1,385",film_Video,60,16.0,0.0,Alternate History Comics Inc.,1.0,1,12,5,14.77102200299171, Canada
811,1148,9.685269351744411,9.615805480084347,254,food,60,13.0,0.0,Victoria Bell,1.0,1,10,3,11.583840487939831, CO
812,1149,7.016609683894219,8.517193191416238,14,art,30,11.0,0.0,NARS Foundation,1.0,0,11,1,14.648708334886981, NY
813,1151,10.463817371205208,9.903487552536127,277,film_Video,35,25.0,0.0,A Woman's Work,1.0,1,11,5,13.069257915717223, CA
814,1155,13.246238538324288,9.692766521220475,"6,745",design,30,13.0,0.0,Playeress,1.0,1,11,2,14.347396253405902, Poland
815,1156,11.94131986933827,11.805576422042591,182,art,30,55.0,0.0,Onda MX,1.0,1,11,1,16.324637595040688, Mexico
816,1160,9.30946146284399,7.600902459542082,187,food,20,7.0,0.0,Amy Nazer,1.0,1,11,0,14.648708334886981, NY
817,1163,10.279970025719809,10.126631103850338,461,art,25,7.0,0.0,Copper Canyon Press,1.0,1,11,1,13.436372336049693, WA
818,1164,13.8510697682977,11.512925464970229,"1,828",photography,45,11.0,0.0,Zero Zero Robotics,1.0,1,11,2,11.011588019076546, CA
819,1165,10.830856691617283,10.819778284410283,425,design,30,12.0,0.0,Daryl Oh,1.0,1,11,1,14.648708334886981, NY
820,1166,11.097535013196714,11.002099841204238,133,art,35,14.0,0.0,David Risley,1.0,1,11,1,15.837971611150978, Sweden
821,1168,9.96861964747391,9.798127036878302,209,film_Video,30,16.0,0.0,Brittany Clemons,1.0,1,11,3,15.9166075437284, NY
