index,page_name,likes_at_posting,followers_at_posting,type,likes,comments,shares,post_views,entities_identified,post_sponsored,post_age,page_age,positive_reactions,negative_reactions,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
8180,Kickstarter,1564387,1535286,video,34,1,1,8707,ORG,0,1673,4839,2,0,0.16674131155014038,0.3075179159641266,0.12308594584465027,1.221310827490655e-05,0.19093292951583862,6.733505497272089e-05,3.148242294095138e-05,0.09251775592565536,2.7545427686559475e-05,6.526532015607929e-05,0.09077788889408112
8181,GoFundMe,1253876,1233730,link,46,17,5,55,"WORK_OF_ART,PERSON,GPE",0,1673,4545,8,1,0.19704340398311615,3.856730011458981e-05,9.029798731938457e-05,0.46695676445961,0.18210521340370178,6.427341536662576e-05,1.2942040591459013e-05,0.10084441304206848,8.483224114777567e-05,6.528598257694319e-05,2.8853064109717077e-05
8182,Indiegogo,524277,525172,link,8,4,1,12,"ORG,DATE,PERSON,GPE",0,1673,5303,1,3,0.6642569899559021,4.011190705805858e-05,0.12082117795944214,0.06588613986968994,4.316332585830413e-05,2.3206828659181984e-05,9.738155412786723e-05,0.11870311200618744,3.05952068636207e-05,2.0570586470576355e-05,9.85442970253423e-05
8183,Kickstarter,1564387,1535286,link,9,0,1,10,"ORG,CARDINAL,DATE,GPE",0,1673,4839,1,0,4.9693334400342506e-05,6.862703633104324e-05,0.07129053771495819,9.543135620678115e-05,6.24026692613671e-05,4.2037287294530265e-05,0.8454357385635376,1.728877315695468e-05,0.05728960409760475,4.415225621535358e-05,2.2893122659961167e-05
8184,Indiegogo,524277,525172,video,23,10,2,28,"ORG,DATE",0,1673,5303,2,3,8.905856439928915e-05,0.4323565363883972,8.105309492291793e-05,0.17621628940105438,1.2673642220688893e-05,2.0133937876920052e-05,7.882957422819771e-05,4.411235063821784e-05,0.20464085042476654,6.736305173243208e-05,0.15495875477790833
8185,GoFundMe,1253876,1233730,link,187,47,18,228,"PERSON,FAC,TIME,DATE,GPE,PRODUCT",0,1673,4545,40,1,0.33306288719177246,5.782613421440482e-05,2.2520966581693897e-05,3.378586508802704e-05,0.1739203929901123,0.26126986742019653,0.08200055360794067,0.12375256419181824,7.854016944519142e-05,7.156062327728059e-05,7.39260586162902e-05
8186,Kickstarter,1564387,1535286,video,6,0,1,10165,PERSON,0,1673,4839,0,0,0.01136891357600689,0.011369004845619202,0.011369245126843452,0.011370113119482994,0.01136922650039196,0.6077269315719604,0.011368783190846443,0.011370118707418442,0.011369078420102596,0.289948970079422,0.011369612067937851
8187,GoFundMe,1253383,1233251,link,10,12,0,12,"ORG,DATE",0,1674,4545,0,1,0.2181704044342041,0.018183987587690353,0.018184226006269455,0.01818528026342392,0.018185213208198547,0.618167519569397,0.018184803426265717,0.01818518340587616,0.018185194581747055,0.018183808773756027,0.018184363842010498
8188,Kickstarter,1564127,1535033,video,13,2,3,9368,"ORG,LOC,ORDINAL",0,1674,4839,2,0,0.010103736072778702,0.01010370347648859,0.010104084387421608,0.010103929787874222,0.010104079730808735,0.010104142129421234,0.4818585216999054,0.010104231536388397,0.010103657841682434,0.01010405644774437,0.4272058308124542
8189,GoFundMe,1253383,1233251,link,49,26,35,201,"CARDINAL,PERSON,ORDINAL",0,1674,4545,9,143,0.01136581040918827,0.01136581040918827,0.01136581040918827,0.01136581040918827,0.011365843936800957,0.1555904597043991,0.011365852318704128,0.01136662345379591,0.01136581040918827,0.01136581040918827,0.7421163320541382
8190,Kickstarter,1564127,1535033,link,109,10,22,140,"PERSON,DATE,GPE",0,1674,4839,30,1,2.9740349949333004e-05,5.589204209768519e-05,1.4434812367805259e-05,2.649815404938542e-05,8.099250122308768e-05,2.9265148418090533e-05,5.445285875074658e-05,0.6513577103614807,0.280425488948822,7.716608864373656e-05,6.73001431463899e-05
8191,GoFundMe,1253383,1233251,link,138,17,28,174,"PERSON,GPE",0,1674,4545,32,4,0.6605229377746582,1.2508649493099747e-05,5.644347016742876e-05,0.09621614217758179,3.523547353504033e-05,0.0965958684682846,5.7062323435350514e-05,6.655984535384927e-05,2.8322198356657736e-05,0.09357530623674393,2.3650808340244342e-05
8192,Kickstarter,1564127,1535033,link,14,0,2,15,DATE,0,1674,4839,1,0,0.12274854630231857,0.33282995223999023,9.352997509007168e-05,7.489201697815005e-05,0.19798573851585388,5.429160571322074e-05,0.30897700786590576,7.151520273000102e-05,2.94775295535322e-05,8.967399753260183e-05,2.8198154234208403e-05
8193,Indiegogo,524014,524917,link,12,9,0,15,"ORG,DATE,EVENT",0,1674,5303,1,2,4.4390222452461366e-05,7.395690533162653e-05,6.899907804029388e-05,0.06110387295484543,8.353907604161188e-05,0.07582901418209076,0.5229201912879944,7.72683939731676e-05,0.30664464831352234,3.544580179157532e-05,6.617042735129263e-05
8194,GoFundMe,1253383,1233251,link,112,7,16,161,"ORG,CARDINAL,GPE",0,1674,4545,48,1,3.81264275181656e-05,5.373032130084268e-05,8.692320253204668e-05,0.14317327737808228,0.2994801700115204,5.508364169802771e-05,3.191771387416304e-05,0.5145496129989624,7.320920457481081e-05,4.167265017817647e-05,8.208706109124625e-05
