collected,goal_amount,num_backers,category,duration,pledge_types,donate,project_we_love,success,start_month,start_day,population,country,Person,Team,num_projects,num_backed,verified,fb_page_name,fb_likes_at_posting,fb_followers_at_posting,fb_type,fb_likes,fb_comments,fb_shares,fb_post_views,fb_entities_identified,fb_post_sponsored,fb_post_age,fb_page_age,fb_positive_reactions,fb_negative_reactions,fb_topic_0,fb_topic_1,fb_topic_2,fb_topic_3,fb_topic_4,fb_topic_5,fb_topic_6,fb_topic_7,fb_topic_8,fb_topic_9,fb_topic_10
15.766032891241435,9.214510365455537,"5,575",design,30,10.0,0.0,1.0,1,5,1,15.7632387676311, Hong Kong,0,1,1,0, Yinghui Ma,Kickstarter,1590310,1588316,link,11,2,0,11,"ORG,CARDINAL,QUANTITY,PRODUCT",0,37,4839,0,0,0.0473716892302036,0.8185745477676392,5.4470018900398064e-05,4.4969118810881695e-05,9.837008345612436e-05,2.150884819502637e-05,1.610935457647489e-05,4.91380134769712e-05,3.73014258510797e-05,0.1024145409464836,1.697505569404339e-05
14.592341961670972,11.06663836234181,"7,083",technology,30,6.0,0.0,1.0,1,5,0,11.660767717014435, DE,0,1,1,2, Stanislavs Nevedomskis,Kickstarter,1590480,1588481,link,18,1,1,18,"ORG,CARDINAL,PRODUCT",0,38,4839,0,0,1.6698833838390135e-05,0.2786070704460144,0.0606015101075172,5.942445657362811e-05,8.980857587433203e-05,1.1364292093389887e-05,0.6203713417053223,2.449917221986593e-05,8.878035869170599e-05,1.7124230564436488e-05,2.1709327414408457e-05
13.889007048915753,11.719939634354557,"6,634",games,9,3.0,0.0,1.0,1,5,1,12.88794399214574, UK,0,1,15,22, Richard Loxam,Kickstarter,1590673,1588619,link,3,7,0,7,"CARDINAL,ORG,ORDINAL,WORK_OF_ART,GPE,PRODUCT",0,42,4839,1,0,0.4340816736221313,9.882149890704996e-05,0.1819623559713363,4.028163651849605e-05,8.397676298172238e-05,1.3503671427749034e-05,8.662035450221984e-05,0.1863065361976623,6.268382886456787e-05,0.1641285717487335,9.231852987292206e-05
11.08946673832243,9.417354541360508,"1,677",comics,30,16.0,0.0,1.0,1,5,0,15.837971611150978, UK,0,1,5,26, Danson Njoka,Kickstarter,1590714,1588660,link,3,1,1,5,"ORG,NORP,WORK_OF_ART,PERSON,GPE",0,43,4839,2,0,9.671052989367146e-05,5.751397494010007e-05,0.390140563249588,4.9164298006364525e-05,0.5757586359977722,9.408622245144827e-05,3.020251449744905e-05,5.920400487267752e-05,5.28048757605178e-05,6.033135277555947e-05,6.393132452122067e-05
14.946843284467649,9.456645608511684,"5,557",design,45,13.0,0.0,1.0,1,5,1,15.7632387676311, Hong Kong,0,1,3,0, Huanhuan Li,Kickstarter,1590752,1588691,link,13,1,3,13,"CARDINAL,QUANTITY,PRODUCT",0,44,4839,0,0,9.771522799056896e-05,0.506799578666687,0.0789508745074272,8.594626623704288e-05,3.5562499403734223e-05,4.069684522808638e-05,0.387302428483963,9.756136067468648e-05,8.002250542603456e-05,7.920326830707357e-05,3.952965307611444e-05
8.641885635373555,7.824046010856292,110,comics,45,7.0,0.0,1.0,1,4,6,15.9166075437284, CA,0,1,2,12, Raymond McDaniel-Ruiz,Kickstarter,1590802,1588738,link,4,1,2,4,PERSON,0,45,4839,0,0,9.822605160210724e-05,9.063022762138836e-05,0.2828733921051025,2.800755231641296e-05,0.671657383441925,8.393098041510998e-05,4.125285029333128e-05,7.856354970579461e-05,9.105027465165894e-05,7.811450281004914e-05,3.499597613299068e-05
11.057219140425318,12.100712129872347,578,film_Video,30,10.0,0.0,1.0,0,6,2,9.00724451596575, CA,1,0,2,0, Chris Burkard,Kickstarter,1590959,1588883,video,15,8,2,2206,"CARDINAL,WORK_OF_ART,PERSON,GPE",0,49,4839,1,0,0.309253454208374,0.3756878077983856,0.2422693967819214,5.125292068052198e-05,4.2986960215646746e-05,7.67901083110118e-05,8.745795333344584e-05,2.4856278688063085e-05,1.1403803736680305e-05,5.268788359275828e-05,8.454886427365269e-05
8.229777750081887,8.922658299524402,72,film_Video,45,7.0,0.0,1.0,0,4,0,10.647993025371216, CA,0,1,1,1, Kayla Anderson,Kickstarter,1590993,1588915,link,5,3,0,5,"ORG,PERSON,ORDINAL",0,50,4839,0,0,9.577306299024504e-05,8.503449681195285e-05,0.4719399213790893,3.357697452162666e-05,9.254811988673862e-05,4.571631014802506e-05,7.791858012868112e-05,6.496339473622211e-05,7.401756369063701e-05,0.2171584367752075,0.2654350996017456
10.4940960656104,10.250263664295613,"1,338",comics,30,4.0,0.0,1.0,1,5,1,13.028322991070937, UK,1,0,9,40, Zainab Akhtar,Kickstarter,1591023,1588941,link,6,0,0,7,"CARDINAL,PERSON,ORG",0,51,4839,1,0,2.805257089279187e-05,3.747731762310159e-05,0.6387478709220886,7.550693764930337e-05,0.3131100833415985,4.687923998178216e-05,6.75123492753976e-05,9.175761340060292e-05,1.744177820839815e-05,8.768632321729348e-05,1.4478638156127774e-05
12.488790968937872,9.980448593672255,"4,061",design,38,12.0,0.0,1.0,1,5,1,11.463430552524056, Slovenia,0,1,4,25, Marko  Borko,Kickstarter,1591165,1589071,link,9,11,1,11,ORG,0,55,4839,0,2,0.6500245928764343,0.268109917640686,1.7606053217076234e-05,9.694486192727813e-05,3.72321759477844e-05,7.323858933647043e-05,1.6804342416112266e-05,1.2604757935116909e-05,1.5016015979790944e-05,5.732072050082826e-05,2.24161614109618e-05
10.023933705611997,10.021270588192513,167,crafts,37,12.0,0.0,1.0,1,4,0,14.64870833488698, NY,1,0,2,11, Rachel Papo,Kickstarter,1591328,1589220,link,10,4,0,11,"DATE,PERSON",0,56,4839,1,0,3.477099056241147e-05,0.324474424123764,0.1601444482803344,9.41179293280952e-05,0.1023758500814437,0.2002370357513427,7.162386959524507e-05,0.1824444830417633,5.144578368621965e-05,2.8834915164493275e-05,7.131227473611371e-05
14.193863428549214,11.512925464970229,"15,277",games,21,4.0,0.0,1.0,1,5,1,14.836582117509636, MN,1,0,9,357, Patrick Leder,Kickstarter,1591388,1589270,link,9,3,0,9,ORG,0,57,4839,0,0,9.808575302346516e-05,2.127684945842205e-05,0.3542000949382782,5.2395657937550926e-05,1.5483907133839346e-05,2.8109508780370117e-05,1.0185930051999633e-05,0.5828385949134827,6.843593660934609e-05,3.0953053996198585e-05,6.382621777516821e-05
10.849836379460154,9.287301413112312,241,design,30,11.0,0.0,1.0,1,5,2,15.047007280023903, Germany,0,1,1,1, Paul Anca,Kickstarter,1591417,1589296,link,15,7,1,15,,0,58,4839,0,0,6.241773017935645e-05,0.4148935973644256,2.0879352319405175e-05,0.0936958938837051,1.4974117993773072e-05,5.7933863987511725e-05,0.0961986631155014,4.479297497103631e-05,0.3554266989231109,8.496694485171324e-05,1.0794823647672112e-05
11.563666106673413,9.615805480084347,"1,262",design,42,47.0,0.0,1.0,1,5,0,14.151849928616338, CA,0,1,3,0, Michael Topolovac,Kickstarter,1591454,1589333,link,4,1,0,7,ORG,0,59,4839,3,0,0.0113726826384663,0.0113722141832113,0.0113746151328086,0.1492555141448974,0.0113730859011411,0.1362126469612121,0.0113727301359176,0.0113724367693066,0.0113719617947936,0.0113723101094365,0.62354975938797
10.20466564265568,10.16585181700362,205,art,33,14.0,0.0,1.0,1,5,4,15.9166075437284, NY,1,0,1,0, Pamela Council,Kickstarter,1591587,1589453,link,7,6,2,13,"ORG,PERSON",0,62,4839,6,0,2.3391377735610823e-05,5.543681256874232e-05,5.674720804060168e-05,4.668329938064342e-05,2.577871306673658e-05,6.869717128880264e-05,3.897854626968428e-05,0.952129364013672,4.9084123240378805e-05,7.596745568475208e-05,2.0923301228035777e-05
13.852815976572932,13.122363377404328,"4,252",film_Video,40,18.0,0.0,1.0,1,4,6,13.047376865601484, GA,0,1,1,40, Sherrilyn Kenyon,Kickstarter,1591640,1589494,link,7,3,2,9,"CARDINAL,ORG,DATE,ORDINAL,PERSON",0,64,4839,2,0,4.306402961794467e-05,0.0896946936845779,0.1692342609167099,0.1670951247215271,1.6117470504098432e-05,0.3622666001319885,0.1697155982255935,9.077412448083888e-05,1.5649436148719393e-05,3.80902849929268e-05,9.389466468053454e-05
12.611691075217315,12.524526376648708,"1,559",publishing,44,13.0,0.0,1.0,1,5,1,14.151849928616338, CA,0,1,2,2, Amanda  Uhle,Kickstarter,1591693,1589548,link,6,1,0,6,"ORG,DATE,PRODUCT",0,65,4839,0,0,8.527385609274977e-05,0.1243368759751319,0.3475641906261444,2.8467140612506363e-05,3.756859967966602e-05,8.013073484901156e-05,0.4852991104125976,9.258570589457417e-05,3.875506281327583e-05,4.109399071469783e-05,7.540664257016117e-05
