pledge_types,start_month,start_day,population,Person,Team,num_projects,num_backed,category_art,category_comics,category_crafts,category_dance,category_design,category_fashion,category_film_Video,category_food,category_games,category_journalism,category_music,category_photography,category_publishing,category_technology,category_theater,region_Africa,region_Asia,region_Europe,region_North America,region_Oceania,region_Other,region_South America,duration_<1 week,duration_1-2 weeks,duration_2 weeks - 1 month,duration_1-2 months,fb_likes,fb_comments,fb_shares,fb_positive_reactions,fb_negative_reactions,success,collection_ratio,num_backers
10,6,2,0.00036275385880257555,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,15,8,2,1,0,0,0.3522222222222224,6.361302477572996
7,4,0,0.0018839450250672139,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,3,0,0,0,0,0.500133333333333,4.290459441148391
4,5,1,0.0203920098790939,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,1,0,1,1.2761304347826057,7.199678345691172
12,4,0,0.10309455704751432,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,4,0,1,0,1,1.002666666666667,5.123963979403259
11,5,2,0.1535390772841381,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,7,1,0,0,1,4.770899999999997,5.488937726156687
47,5,0,0.06272558685575406,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,0,3,0,1,7.013666666666666,7.141245122350491
14,5,4,0.3663417835041059,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,6,2,6,0,1,1.0395769230769227,5.327876168789581
18,4,6,0.020784339716501708,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,3,2,2,0,1,2.0760199999999998,8.355379895253634
13,5,1,0.06272558685575406,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,6,1,0,0,0,1,1.0910763636363612,7.352441100243583
21,4,4,0.01091497009218787,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,2,0,0,0,1,1.4681300000000044,8.325306029752582
13,5,1,0.03058326473722846,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,9,0,0,0,1,1.0901333333333356,5.147494476813453
34,5,0,0.10309455704751432,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,2,1,1,0,1,3.4488709677419385,6.530877627725885
24,5,4,0.00021151305911651106,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,0,1,0,0,1,1.58278,6.156978985585555
6,4,1,0.0303399799071557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,9,2,3,0,0,0,0.13300000000000003,3.4011973816621555
4,4,1,0.020834170759242723,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9,5,0,0,0,1,1.004,3.8918202981106265
26,5,0,0.37357741223361984,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,1,0,6,0,1,3.595880000000001,7.805474625270857
32,4,0,0.3663417835041059,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,1,1.883266666666665,4.442651256490317
6,4,1,0.19028593115061757,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,21,14,1,1,0,1,3.39703716398682,5.087596335232384
3,4,0,0.0032211377547359974,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11,3,0,2,0,1,1.5100149999999963,7.4815557019095165
5,4,0,0.17798537127286101,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,1,1.0613500000000002,5.5053315359323625
15,4,1,0.02329699834737503,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,2,0,0,0,1,1.5393000464636093,5.236441962829949
6,3,1,0.06272558685575406,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,2,1,0,0,1,6.709999999999993,6.983789965258135
7,4,1,0.003963405193550809,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,5,3,3,0,1,2.6653333333333347,6.915723448631314
17,4,1,0.0005058836704165882,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9,5,4,1,0,1,1.0657777777777757,5.247024072160486
12,3,3,0.4897028765820857,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,2,1,4,1,1.0564500000000019,5.3706380281276624
7,3,1,0.07023734767642825,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0,0,0,0,1,1.2822666666666669,6.612041034833092
14,3,0,0.07023734767642825,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,5,1,0,0,1,1.300499999999999,4.852030263919617
8,3,1,0.12191034651530239,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,5,6,0,0,0,0,0.2912727272727272,3.6375861597263857
11,3,1,0.3386374714115682,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,3,0,1,0,1,1.03482608695652,4.2626798770413155
7,2,4,0.3386374714115682,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,3,1,0,0,0,0.4140092668301986,4.248495242049359
5,3,3,0.3386374714115682,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,7,0,0,0,0,0.42663551401869143,3.4965075614664802
5,3,5,0.052229116860830815,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25,5,2,5,0,1,1.1923000000000001,5.726847747587197
16,3,0,0.07003941268021693,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14,7,0,1,0,1,2.1472000000000016,6.721425700790643
10,3,1,0.3386374714115682,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,2,6,1,0,1,1.0021000000000027,4.07753744390572
7,2,4,0.17798537127286101,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,1,0,1,1.0086000000000008,4.8283137373023015
11,2,4,0.020834170759242723,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,5,1,0,0,1,1.0750000000000017,5.872117789475416
8,3,0,0.02378558455151638,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,6,0,0,0,1,1.0481999999999991,4.0943445622221
5,3,2,0.028332084644479106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,7,2,0,0,0,1,9.581999999999999,5.429345628954441
9,2,4,0.10309455704751432,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13,4,3,2,0,1,1.0693999999999986,4.9344739331306915
19,2,1,0.3663417835041059,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12,4,6,8,0,1,3.525880000000004,6.651571873589727
11,3,5,0.17798537127286101,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,16,11,1,6,0,0,0.2517446043165467,4.624972813284271
7,2,2,0.0010817638235323264,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,4,2,2,0,1,1.0428571428571431,4.74493212836325
18,2,0,0.00022231277251631614,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,4,2,3,0,1,6.0729999999999995,5.545177444479562
5,2,2,0.04175424629270724,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,4,1,1,0,1,1.0712941176470583,3.5263605246161616
7,3,1,0.12191034651530239,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,4,0,0,0,1,8.329466666666663,7.134890851565884
5,2,1,0.06250663498989731,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,16,6,0,0,0,1,7.64609999999999,5.480638923341991
7,3,1,0.0014519116769862222,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,7,0,0,0,1,1.5574849999999991,7.069023426578259
10,2,0,0.34390136823406403,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,2,0,0,0,1,1.1795000000000004,4.852030263919617
